mode,overall,alpha,lam,test_loss,test_acc,test_auc
Single task,True,1.000000,0,0.497893,0.762400,0.844029
Multitask,True,1.000000,300,0.505507,0.758300,0.844218
Multitask,True,1.000000,1000,0.490922,0.764900,0.844425
Multitask,True,1.000000,3000,0.496979,0.761900,0.844634
Multitask,True,1.000000,10000,0.488764,0.764900,0.843743
Multitask,True,1.000000,30000,0.518020,0.748000,0.836944
Projection,True,1.000000,300,0.493175,0.762700,0.841864
Unweighted cosine,True,1.000000,300,0.501356,0.761200,0.845418
Weighted cosine,True,1.000000,300,0.508210,0.757200,0.841531
Projection,True,1.000000,1000,0.511168,0.753700,0.841817
Unweighted cosine,True,1.000000,1000,0.505733,0.759900,0.845276
Weighted cosine,True,1.000000,1000,0.508540,0.755400,0.843264
Projection,True,1.000000,3000,0.490791,0.763900,0.846348
Unweighted cosine,True,1.000000,3000,0.499743,0.759800,0.846277
Weighted cosine,True,1.000000,3000,0.492004,0.763600,0.844576
Projection,True,1.000000,10000,0.521048,0.749800,0.844654
Unweighted cosine,True,1.000000,10000,0.519684,0.753100,0.851124
Weighted cosine,True,1.000000,10000,0.501283,0.760400,0.843642
Projection,True,1.000000,30000,0.518361,0.749000,0.841697
Unweighted cosine,True,1.000000,30000,0.691648,0.504800,0.670271
Weighted cosine,True,1.000000,30000,0.693885,0.495100,0.699315
Projection,False,1.000000,300,0.503397,0.756700,0.846833
Parameter-wise,False,1.000000,300,0.519153,0.755600,0.841920
Projection,False,1.000000,1000,0.497619,0.758900,0.845779
Parameter-wise,False,1.000000,1000,0.497170,0.758200,0.841888
Projection,False,1.000000,3000,0.490659,0.761600,0.848931
Parameter-wise,False,1.000000,3000,0.502280,0.761200,0.845909
Projection,False,1.000000,10000,0.491673,0.765500,0.847737
Parameter-wise,False,1.000000,10000,0.502659,0.755600,0.843630
Projection,False,1.000000,30000,0.504632,0.755600,0.844220
Parameter-wise,False,1.000000,30000,0.515839,0.751700,0.844435
Projection,True,0.010000,300,0.538913,0.743300,0.838417
Projection,True,0.100000,300,0.508193,0.751500,0.841492
Projection,True,0.010000,1000,0.507239,0.754600,0.840772
Projection,True,0.100000,1000,0.487064,0.767700,0.848126
Projection,True,0.010000,3000,0.496542,0.758500,0.847090
Projection,True,0.100000,3000,0.507468,0.756200,0.840175
Projection,True,0.010000,10000,0.509938,0.759600,0.846048
Projection,True,0.100000,10000,0.505339,0.757800,0.848935
Projection,True,0.010000,30000,0.513953,0.753600,0.842964
Projection,True,0.100000,30000,0.523234,0.759400,0.845252
Single task,True,1.000000,0,0.502328,0.756400,0.842840
Multitask,True,1.000000,300,0.486374,0.767900,0.849475
Multitask,True,1.000000,1000,0.490181,0.765100,0.852110
Multitask,True,1.000000,3000,0.498421,0.760600,0.848771
Multitask,True,1.000000,10000,0.496121,0.764200,0.844958
Multitask,True,1.000000,30000,0.538910,0.743300,0.838768
Projection,True,1.000000,300,0.496698,0.764400,0.849420
Unweighted cosine,True,1.000000,300,0.495283,0.759100,0.846718
Weighted cosine,True,1.000000,300,0.494832,0.764500,0.846098
Projection,True,1.000000,1000,0.488784,0.765400,0.848614
Unweighted cosine,True,1.000000,1000,0.518511,0.748200,0.846781
Weighted cosine,True,1.000000,1000,0.504108,0.758800,0.843053
Projection,True,1.000000,3000,0.486743,0.765500,0.850872
Unweighted cosine,True,1.000000,3000,0.516789,0.755900,0.847531
Weighted cosine,True,1.000000,3000,0.497345,0.763900,0.843790
Projection,True,1.000000,10000,0.478770,0.771900,0.852287
Unweighted cosine,True,1.000000,10000,0.500132,0.764500,0.847880
Weighted cosine,True,1.000000,10000,0.499167,0.761600,0.842803
Projection,True,1.000000,30000,0.498420,0.758600,0.845552
Unweighted cosine,True,1.000000,30000,0.516686,0.759100,0.847359
Weighted cosine,True,1.000000,30000,0.490042,0.767600,0.853544
Projection,False,1.000000,300,0.505729,0.759400,0.849034
Parameter-wise,False,1.000000,300,0.504978,0.758900,0.844853
Projection,False,1.000000,1000,0.487463,0.763100,0.850785
Parameter-wise,False,1.000000,1000,0.498485,0.761400,0.845623
Projection,False,1.000000,3000,0.479177,0.771600,0.852444
Parameter-wise,False,1.000000,3000,0.511701,0.755400,0.846515
Projection,False,1.000000,10000,0.475627,0.773700,0.853297
Parameter-wise,False,1.000000,10000,0.503144,0.756600,0.843067
Projection,False,1.000000,30000,0.505436,0.758000,0.849670
Parameter-wise,False,1.000000,30000,0.512281,0.757200,0.846343
Projection,True,0.010000,300,0.522626,0.752100,0.842331
Projection,True,0.100000,300,0.521422,0.752300,0.842753
Projection,True,0.010000,1000,0.509515,0.757500,0.845319
Projection,True,0.100000,1000,0.510396,0.755200,0.845173
Projection,True,0.010000,3000,0.513418,0.758700,0.846042
Projection,True,0.100000,3000,0.498628,0.761700,0.847366
Projection,True,0.010000,10000,0.508201,0.755200,0.849254
Projection,True,0.100000,10000,0.520706,0.756100,0.846403
Projection,True,0.010000,30000,0.491668,0.765800,0.844134
Projection,True,0.100000,30000,0.506510,0.762200,0.846026
Single task,True,1.000000,0,0.494125,0.760800,0.843841
