situation,mode,overall,alpha,lam,test_loss
Same task,Single task,True,1.000000,0.000000,0.448443
Same task,Single task,True,1.000000,0.000000,0.447167
Same task,Single task,True,1.000000,0.000000,0.444185
Same task,Single task,True,1.000000,0.000000,0.454543
Same task,Single task,True,1.000000,0.000000,0.441185
Same task,Single task,True,1.000000,0.000000,0.442999
Same task,Single task,True,1.000000,0.000000,0.447790
Same task,Single task,True,1.000000,0.000000,0.439931
Same task,Single task,True,1.000000,0.000000,0.453607
Same task,Single task,True,1.000000,0.000000,0.463936
Same task,Single task,True,1.000000,0.000000,0.439568
Same task,Single task,True,1.000000,0.000000,0.444965
Same task,Single task,True,1.000000,0.000000,0.435964
Same task,Single task,True,1.000000,0.000000,0.453914
Same task,Single task,True,1.000000,0.000000,0.445391
Same task,Single task,True,1.000000,0.000000,0.441697
Same task,Single task,True,1.000000,0.000000,0.447688
Same task,Single task,True,1.000000,0.000000,0.441081
Same task,Single task,True,1.000000,0.000000,0.450709
Same task,Single task,True,1.000000,0.000000,0.447211
Same task,Multitask,True,1.000000,0.100000,0.440809
Similar task,Multitask,True,1.000000,0.100000,0.441988
Unrelated task,Multitask,True,1.000000,0.100000,0.447884
Same task,Multitask,True,1.000000,0.300000,0.435167
Similar task,Multitask,True,1.000000,0.300000,0.444521
Unrelated task,Multitask,True,1.000000,0.300000,0.463340
Same task,Multitask,True,1.000000,1.000000,0.424555
Similar task,Multitask,True,1.000000,1.000000,0.443498
Unrelated task,Multitask,True,1.000000,1.000000,0.493055
Same task,Multitask,True,1.000000,3.000000,0.432407
Similar task,Multitask,True,1.000000,3.000000,0.455365
Unrelated task,Multitask,True,1.000000,3.000000,0.521739
Same task,Multitask,True,1.000000,10.000000,0.439727
Similar task,Multitask,True,1.000000,10.000000,0.466072
Unrelated task,Multitask,True,1.000000,10.000000,0.542957
Same task,Multitask,True,1.000000,0.100000,0.435821
Similar task,Multitask,True,1.000000,0.100000,0.438048
Unrelated task,Multitask,True,1.000000,0.100000,0.447090
Same task,Multitask,True,1.000000,0.300000,0.430312
Similar task,Multitask,True,1.000000,0.300000,0.431559
Unrelated task,Multitask,True,1.000000,0.300000,0.455134
Same task,Multitask,True,1.000000,1.000000,0.428307
Similar task,Multitask,True,1.000000,1.000000,0.435370
Unrelated task,Multitask,True,1.000000,1.000000,0.490853
Same task,Multitask,True,1.000000,3.000000,0.432981
Similar task,Multitask,True,1.000000,3.000000,0.455451
Unrelated task,Multitask,True,1.000000,3.000000,0.518184
Same task,Multitask,True,1.000000,10.000000,0.436504
Similar task,Multitask,True,1.000000,10.000000,0.543566
Unrelated task,Multitask,True,1.000000,10.000000,0.542508
Same task,Multitask,True,1.000000,0.100000,0.439975
Similar task,Multitask,True,1.000000,0.100000,0.433120
Unrelated task,Multitask,True,1.000000,0.100000,0.448341
Same task,Multitask,True,1.000000,0.300000,0.431524
Similar task,Multitask,True,1.000000,0.300000,0.440846
Unrelated task,Multitask,True,1.000000,0.300000,0.453432
Same task,Multitask,True,1.000000,1.000000,0.416574
Similar task,Multitask,True,1.000000,1.000000,0.440609
Unrelated task,Multitask,True,1.000000,1.000000,0.490260
Same task,Multitask,True,1.000000,3.000000,0.416455
Similar task,Multitask,True,1.000000,3.000000,0.441662
Unrelated task,Multitask,True,1.000000,3.000000,0.518761
Same task,Multitask,True,1.000000,10.000000,0.427759
Similar task,Multitask,True,1.000000,10.000000,0.459614
Unrelated task,Multitask,True,1.000000,10.000000,0.543048
Same task,Multitask,True,1.000000,0.100000,0.440091
Similar task,Multitask,True,1.000000,0.100000,0.454563
Unrelated task,Multitask,True,1.000000,0.100000,0.454246
Same task,Multitask,True,1.000000,0.300000,0.423994
Similar task,Multitask,True,1.000000,0.300000,0.436862
Unrelated task,Multitask,True,1.000000,0.300000,0.448034
Same task,Multitask,True,1.000000,1.000000,0.411817
Similar task,Multitask,True,1.000000,1.000000,0.428994
Unrelated task,Multitask,True,1.000000,1.000000,0.494024
Same task,Multitask,True,1.000000,3.000000,0.424541
Similar task,Multitask,True,1.000000,3.000000,0.433741
Unrelated task,Multitask,True,1.000000,3.000000,0.522139
Same task,Multitask,True,1.000000,10.000000,0.429928
Similar task,Multitask,True,1.000000,10.000000,0.462155
Unrelated task,Multitask,True,1.000000,10.000000,0.543259
Same task,Multitask,True,1.000000,0.100000,0.429181
Similar task,Multitask,True,1.000000,0.100000,0.434131
Unrelated task,Multitask,True,1.000000,0.100000,0.438553
Same task,Multitask,True,1.000000,0.300000,0.431844
Similar task,Multitask,True,1.000000,0.300000,0.438811
Unrelated task,Multitask,True,1.000000,0.300000,0.449764
Same task,Multitask,True,1.000000,1.000000,0.425637
Similar task,Multitask,True,1.000000,1.000000,0.439557
Unrelated task,Multitask,True,1.000000,1.000000,0.487469
Same task,Multitask,True,1.000000,3.000000,0.419607
Similar task,Multitask,True,1.000000,3.000000,0.444210
Unrelated task,Multitask,True,1.000000,3.000000,0.519761
Same task,Multitask,True,1.000000,10.000000,0.430805
Similar task,Multitask,True,1.000000,10.000000,0.543790
Unrelated task,Multitask,True,1.000000,10.000000,0.543177
Same task,Multitask,True,1.000000,0.100000,0.439507
Similar task,Multitask,True,1.000000,0.100000,0.439392
Unrelated task,Multitask,True,1.000000,0.100000,0.448573
Same task,Multitask,True,1.000000,0.300000,0.424665
Similar task,Multitask,True,1.000000,0.300000,0.424007
Unrelated task,Multitask,True,1.000000,0.300000,0.451873
Same task,Multitask,True,1.000000,1.000000,0.428318
Similar task,Multitask,True,1.000000,1.000000,0.433037
Unrelated task,Multitask,True,1.000000,1.000000,0.487925
Same task,Multitask,True,1.000000,3.000000,0.416666
Similar task,Multitask,True,1.000000,3.000000,0.442743
Unrelated task,Multitask,True,1.000000,3.000000,0.523706
Same task,Multitask,True,1.000000,10.000000,0.437664
Similar task,Multitask,True,1.000000,10.000000,0.450946
Unrelated task,Multitask,True,1.000000,10.000000,0.544502
Same task,Multitask,True,1.000000,0.100000,0.443662
Similar task,Multitask,True,1.000000,0.100000,0.438292
Unrelated task,Multitask,True,1.000000,0.100000,0.449707
Same task,Multitask,True,1.000000,0.300000,0.439227
Similar task,Multitask,True,1.000000,0.300000,0.437940
Unrelated task,Multitask,True,1.000000,0.300000,0.455090
Same task,Multitask,True,1.000000,1.000000,0.417878
Similar task,Multitask,True,1.000000,1.000000,0.438382
Unrelated task,Multitask,True,1.000000,1.000000,0.492458
Same task,Multitask,True,1.000000,3.000000,0.423687
Similar task,Multitask,True,1.000000,3.000000,0.438622
Unrelated task,Multitask,True,1.000000,3.000000,0.525376
Same task,Multitask,True,1.000000,10.000000,0.428610
Similar task,Multitask,True,1.000000,10.000000,0.451759
Unrelated task,Multitask,True,1.000000,10.000000,0.543026
Same task,Multitask,True,1.000000,0.100000,0.432112
Similar task,Multitask,True,1.000000,0.100000,0.435548
Unrelated task,Multitask,True,1.000000,0.100000,0.442449
Same task,Multitask,True,1.000000,0.300000,0.428802
Similar task,Multitask,True,1.000000,0.300000,0.440712
Unrelated task,Multitask,True,1.000000,0.300000,0.453488
Same task,Multitask,True,1.000000,1.000000,0.427947
Similar task,Multitask,True,1.000000,1.000000,0.439133
Unrelated task,Multitask,True,1.000000,1.000000,0.489150
Same task,Multitask,True,1.000000,3.000000,0.425583
Similar task,Multitask,True,1.000000,3.000000,0.451830
Unrelated task,Multitask,True,1.000000,3.000000,0.520574
Same task,Multitask,True,1.000000,10.000000,0.423861
Similar task,Multitask,True,1.000000,10.000000,0.464822
Unrelated task,Multitask,True,1.000000,10.000000,0.542692
Same task,Multitask,True,1.000000,0.100000,0.438929
Similar task,Multitask,True,1.000000,0.100000,0.442416
Unrelated task,Multitask,True,1.000000,0.100000,0.449785
Same task,Multitask,True,1.000000,0.300000,0.442973
Similar task,Multitask,True,1.000000,0.300000,0.443517
Unrelated task,Multitask,True,1.000000,0.300000,0.457310
Same task,Multitask,True,1.000000,1.000000,0.432273
Similar task,Multitask,True,1.000000,1.000000,0.439796
Unrelated task,Multitask,True,1.000000,1.000000,0.492181
Same task,Multitask,True,1.000000,3.000000,0.427692
Similar task,Multitask,True,1.000000,3.000000,0.445767
Unrelated task,Multitask,True,1.000000,3.000000,0.523954
Same task,Multitask,True,1.000000,10.000000,0.434704
Similar task,Multitask,True,1.000000,10.000000,0.464314
Unrelated task,Multitask,True,1.000000,10.000000,0.542716
Same task,Multitask,True,1.000000,0.100000,0.448947
Similar task,Multitask,True,1.000000,0.100000,0.450542
Unrelated task,Multitask,True,1.000000,0.100000,0.454665
Same task,Multitask,True,1.000000,0.300000,0.438403
Similar task,Multitask,True,1.000000,0.300000,0.434023
Unrelated task,Multitask,True,1.000000,0.300000,0.460168
Same task,Multitask,True,1.000000,1.000000,0.432544
Similar task,Multitask,True,1.000000,1.000000,0.442865
Unrelated task,Multitask,True,1.000000,1.000000,0.489800
Same task,Multitask,True,1.000000,3.000000,0.420127
Similar task,Multitask,True,1.000000,3.000000,0.450682
Unrelated task,Multitask,True,1.000000,3.000000,0.525697
Same task,Multitask,True,1.000000,10.000000,0.425719
Similar task,Multitask,True,1.000000,10.000000,0.463103
Unrelated task,Multitask,True,1.000000,10.000000,0.543001
Same task,Multitask,True,1.000000,0.100000,0.439019
Similar task,Multitask,True,1.000000,0.100000,0.435910
Unrelated task,Multitask,True,1.000000,0.100000,0.442012
Same task,Multitask,True,1.000000,0.300000,0.419749
Similar task,Multitask,True,1.000000,0.300000,0.430930
Unrelated task,Multitask,True,1.000000,0.300000,0.445960
Same task,Multitask,True,1.000000,1.000000,0.438349
Similar task,Multitask,True,1.000000,1.000000,0.429921
Unrelated task,Multitask,True,1.000000,1.000000,0.492906
Same task,Multitask,True,1.000000,3.000000,0.444011
Similar task,Multitask,True,1.000000,3.000000,0.447002
Unrelated task,Multitask,True,1.000000,3.000000,0.520084
Same task,Multitask,True,1.000000,10.000000,0.449053
Similar task,Multitask,True,1.000000,10.000000,0.456638
Unrelated task,Multitask,True,1.000000,10.000000,0.543464
Same task,Multitask,True,1.000000,0.100000,0.430266
Similar task,Multitask,True,1.000000,0.100000,0.433736
Unrelated task,Multitask,True,1.000000,0.100000,0.441966
Same task,Multitask,True,1.000000,0.300000,0.431082
Similar task,Multitask,True,1.000000,0.300000,0.439165
Unrelated task,Multitask,True,1.000000,0.300000,0.456127
Same task,Multitask,True,1.000000,1.000000,0.419318
Similar task,Multitask,True,1.000000,1.000000,0.436997
Unrelated task,Multitask,True,1.000000,1.000000,0.493236
Same task,Multitask,True,1.000000,3.000000,0.423873
Similar task,Multitask,True,1.000000,3.000000,0.445500
Unrelated task,Multitask,True,1.000000,3.000000,0.522794
Same task,Multitask,True,1.000000,10.000000,0.431419
Similar task,Multitask,True,1.000000,10.000000,0.462329
Unrelated task,Multitask,True,1.000000,10.000000,0.543291
Same task,Multitask,True,1.000000,0.100000,0.434726
Similar task,Multitask,True,1.000000,0.100000,0.439830
Unrelated task,Multitask,True,1.000000,0.100000,0.447061
Same task,Multitask,True,1.000000,0.300000,0.423552
Similar task,Multitask,True,1.000000,0.300000,0.427464
Unrelated task,Multitask,True,1.000000,0.300000,0.453866
Same task,Multitask,True,1.000000,1.000000,0.422954
Similar task,Multitask,True,1.000000,1.000000,0.440913
Unrelated task,Multitask,True,1.000000,1.000000,0.485209
Same task,Multitask,True,1.000000,3.000000,0.418421
Similar task,Multitask,True,1.000000,3.000000,0.438037
Unrelated task,Multitask,True,1.000000,3.000000,0.521187
Same task,Multitask,True,1.000000,10.000000,0.437158
Similar task,Multitask,True,1.000000,10.000000,0.544290
Unrelated task,Multitask,True,1.000000,10.000000,0.543254
Same task,Multitask,True,1.000000,0.100000,0.440297
Similar task,Multitask,True,1.000000,0.100000,0.447854
Unrelated task,Multitask,True,1.000000,0.100000,0.454779
Same task,Multitask,True,1.000000,0.300000,0.430764
Similar task,Multitask,True,1.000000,0.300000,0.439642
Unrelated task,Multitask,True,1.000000,0.300000,0.448552
Same task,Multitask,True,1.000000,1.000000,0.437118
Similar task,Multitask,True,1.000000,1.000000,0.446943
Unrelated task,Multitask,True,1.000000,1.000000,0.497101
Same task,Multitask,True,1.000000,3.000000,0.425245
Similar task,Multitask,True,1.000000,3.000000,0.446932
Unrelated task,Multitask,True,1.000000,3.000000,0.519987
Same task,Multitask,True,1.000000,10.000000,0.424864
Similar task,Multitask,True,1.000000,10.000000,0.454724
Unrelated task,Multitask,True,1.000000,10.000000,0.543227
Same task,Multitask,True,1.000000,0.100000,0.439982
Similar task,Multitask,True,1.000000,0.100000,0.438385
Unrelated task,Multitask,True,1.000000,0.100000,0.452215
Same task,Multitask,True,1.000000,0.300000,0.431440
Similar task,Multitask,True,1.000000,0.300000,0.433447
Unrelated task,Multitask,True,1.000000,0.300000,0.458458
Same task,Multitask,True,1.000000,1.000000,0.430700
Similar task,Multitask,True,1.000000,1.000000,0.443706
Unrelated task,Multitask,True,1.000000,1.000000,0.494869
Same task,Multitask,True,1.000000,3.000000,0.421698
Similar task,Multitask,True,1.000000,3.000000,0.447178
Unrelated task,Multitask,True,1.000000,3.000000,0.522163
Same task,Multitask,True,1.000000,10.000000,0.436279
Similar task,Multitask,True,1.000000,10.000000,0.459829
Unrelated task,Multitask,True,1.000000,10.000000,0.543491
Same task,Multitask,True,1.000000,0.100000,0.442417
Similar task,Multitask,True,1.000000,0.100000,0.442559
Unrelated task,Multitask,True,1.000000,0.100000,0.449520
Same task,Multitask,True,1.000000,0.300000,0.433561
Similar task,Multitask,True,1.000000,0.300000,0.445338
Unrelated task,Multitask,True,1.000000,0.300000,0.460833
Same task,Multitask,True,1.000000,1.000000,0.427691
Similar task,Multitask,True,1.000000,1.000000,0.440262
Unrelated task,Multitask,True,1.000000,1.000000,0.493115
Same task,Multitask,True,1.000000,3.000000,0.424621
Similar task,Multitask,True,1.000000,3.000000,0.439699
Unrelated task,Multitask,True,1.000000,3.000000,0.520751
Same task,Multitask,True,1.000000,10.000000,0.425314
Similar task,Multitask,True,1.000000,10.000000,0.449216
Unrelated task,Multitask,True,1.000000,10.000000,0.543068
Same task,Multitask,True,1.000000,0.100000,0.441547
Similar task,Multitask,True,1.000000,0.100000,0.445641
Unrelated task,Multitask,True,1.000000,0.100000,0.448915
Same task,Multitask,True,1.000000,0.300000,0.438084
Similar task,Multitask,True,1.000000,0.300000,0.428845
Unrelated task,Multitask,True,1.000000,0.300000,0.453122
Same task,Multitask,True,1.000000,1.000000,0.427386
Similar task,Multitask,True,1.000000,1.000000,0.435217
Unrelated task,Multitask,True,1.000000,1.000000,0.491704
Same task,Multitask,True,1.000000,3.000000,0.426118
Similar task,Multitask,True,1.000000,3.000000,0.445086
Unrelated task,Multitask,True,1.000000,3.000000,0.520580
Same task,Multitask,True,1.000000,10.000000,0.431754
Similar task,Multitask,True,1.000000,10.000000,0.456760
Unrelated task,Multitask,True,1.000000,10.000000,0.543621
Same task,Multitask,True,1.000000,0.100000,0.433505
Similar task,Multitask,True,1.000000,0.100000,0.441086
Unrelated task,Multitask,True,1.000000,0.100000,0.444487
Same task,Multitask,True,1.000000,0.300000,0.431295
Similar task,Multitask,True,1.000000,0.300000,0.438670
Unrelated task,Multitask,True,1.000000,0.300000,0.445149
Same task,Multitask,True,1.000000,1.000000,0.422449
Similar task,Multitask,True,1.000000,1.000000,0.450246
Unrelated task,Multitask,True,1.000000,1.000000,0.488041
Same task,Multitask,True,1.000000,3.000000,0.428974
Similar task,Multitask,True,1.000000,3.000000,0.453321
Unrelated task,Multitask,True,1.000000,3.000000,0.515852
Same task,Multitask,True,1.000000,10.000000,0.433978
Similar task,Multitask,True,1.000000,10.000000,0.464341
Unrelated task,Multitask,True,1.000000,10.000000,0.544229
Same task,Multitask,True,1.000000,0.100000,0.442206
Similar task,Multitask,True,1.000000,0.100000,0.442377
Unrelated task,Multitask,True,1.000000,0.100000,0.449420
Same task,Multitask,True,1.000000,0.300000,0.433624
Similar task,Multitask,True,1.000000,0.300000,0.445694
Unrelated task,Multitask,True,1.000000,0.300000,0.460559
Same task,Multitask,True,1.000000,1.000000,0.422693
Similar task,Multitask,True,1.000000,1.000000,0.441837
Unrelated task,Multitask,True,1.000000,1.000000,0.495405
Same task,Multitask,True,1.000000,3.000000,0.425308
Similar task,Multitask,True,1.000000,3.000000,0.441275
Unrelated task,Multitask,True,1.000000,3.000000,0.525816
Same task,Multitask,True,1.000000,10.000000,0.430561
Similar task,Multitask,True,1.000000,10.000000,0.452698
Unrelated task,Multitask,True,1.000000,10.000000,0.542926
Same task,Multitask,True,1.000000,0.100000,0.440817
Similar task,Multitask,True,1.000000,0.100000,0.438782
Unrelated task,Multitask,True,1.000000,0.100000,0.446908
Same task,Multitask,True,1.000000,0.300000,0.439808
Similar task,Multitask,True,1.000000,0.300000,0.441097
Unrelated task,Multitask,True,1.000000,0.300000,0.453081
Same task,Multitask,True,1.000000,1.000000,0.421285
Similar task,Multitask,True,1.000000,1.000000,0.446840
Unrelated task,Multitask,True,1.000000,1.000000,0.492164
Same task,Multitask,True,1.000000,3.000000,0.436222
Similar task,Multitask,True,1.000000,3.000000,0.452131
Unrelated task,Multitask,True,1.000000,3.000000,0.521088
Same task,Multitask,True,1.000000,10.000000,0.435375
Similar task,Multitask,True,1.000000,10.000000,0.461617
Unrelated task,Multitask,True,1.000000,10.000000,0.544403
Same task,Projection,True,0.010000,0.100000,0.440291
Same task,Projection,True,0.100000,0.100000,0.443452
Same task,Projection,True,1.000000,0.100000,0.441831
Similar task,Projection,True,0.010000,0.100000,0.440683
Similar task,Projection,True,0.100000,0.100000,0.441034
Similar task,Projection,True,1.000000,0.100000,0.441315
Unrelated task,Projection,True,0.010000,0.100000,0.451026
Unrelated task,Projection,True,0.100000,0.100000,0.449143
Unrelated task,Projection,True,1.000000,0.100000,0.450453
Same task,Projection,True,0.010000,0.300000,0.424337
Same task,Projection,True,0.100000,0.300000,0.430814
Same task,Projection,True,1.000000,0.300000,0.431362
Similar task,Projection,True,0.010000,0.300000,0.437981
Similar task,Projection,True,0.100000,0.300000,0.435071
